Abercron, Dr. Michael von | CDU/CSU
Brauksiepe, Dr. Ralf | CDU/CSU  *
Braun, Prof. Dr. Helge | CDU/CSU
Braun, Jürgen | AfD
Breher, Silvia | CDU/CSU
Brehm, Sebastian | CDU/CSU
Brehmer, Heike | CDU/CSU
Breymaier, Leni | SPD
Brinkhaus, Ralph | CDU/CSU
Brodesser, Dr. Carsten | CDU/CSU
Brugger, Agnieszka | Bündnis 90/Die Grünen
Brunner, Dr. Karl-Heinz | SPD
Buchholz, Dr. Bernd | FDP  ***
Buchholz, Christine | Die Linke
Budde, Katrin | SPD
Bühl, Marcus | AfD
Bülow, Marco | SPD
Büttner, Matthias | AfD
Bull-Bischoff, Birke | Die Linke
Burkert, Martin | SPD
Buschmann, Dr. Marco | FDP
Busen, Karlheinz | FDP
Bystron, Petr | AfD
Castellucci, Prof. Dr. Lars | SPD
Cezanne, Jörg | Die Linke
Christmann, Dr. Anna | Bündnis 90/Die Grünen
Chrupalla, Tino | AfD
Connemann, Gitta | CDU/CSU
Cotar, Joana | AfD
Cronenberg, Carl-Julius | FDP
Curio, Dr. Gottfried | AfD
Daldrup, Bernhard | SPD
Damerow, Astrid | CDU/CSU
Dassler, Britta Katharina | FDP
Dagdelen, Sevim | Die Linke
De Masi, Fabio | Die Linke
De Ridder, Dr. Daniela | SPD
Dehm, Dr. Diether | Die Linke
Deligöz, Ekin | Bündnis 90/Die Grünen
Diaby, Dr. Karamba | SPD
Dilcher, Esther | SPD
Dittmar, Sabine | SPD
Djir-Sarai, Bijan | FDP
Dobrindt, Alexander | CDU/CSU
Dörner, Katja | Bündnis 90/Die Grünen
Dött, Marie-Luise | CDU/CSU
Domscheit-Berg, Anke | Die Linke
Donth, Michael | CDU/CSU
Dröge, Katharina | Bündnis 90/Die Grünen
Droese, Siegbert | AfD
Dürr, Christian | FDP
Durz, Hansjörg | CDU/CSU
Ebbing, Hartmut | FDP
Ebner, Harald | Bündnis 90/Die Grünen
Ehrhorn, Thomas | AfD
Elsner von Gronow, Berengar | AfD
Erndl, Thomas | CDU/CSU
Ernst, Klaus | Die Linke
Esdar, Dr. Wiebke | SPD
Esken, Saskia | SPD
Espendiller, Dr. Michael | AfD
Faber, Dr. Marcus | FDP
Färber, Hermann | CDU/CSU
Fahimi, Yasmin | SPD
Fechner, Dr. Johannes | SPD
Feiler, Uwe | CDU/CSU
Felgentreu, Dr. Fritz | SPD
Felser, Peter | AfD
Ferlemann, Enak | CDU/CSU
Ferschl, Susanne | Die Linke
Fischer (Karlsruhe-Land), Axel E. | CDU/CSU
Flachsbarth, Dr. Maria | CDU/CSU
Föst, Daniel | FDP
Franke, Dr. Edgar | SPD
Freese, Ulrich | SPD
Frei, Thorsten | CDU/CSU
Freihold, Brigitte | Die Linke
Freitag, Dagmar | SPD
Fricke, Otto | FDP
Friedhoff, Dietmar | AfD
Friedrich (Hof), Dr. Hans-Peter | CDU/CSU
Friesen, Dr. Anton | AfD
Frieser, Michael | CDU/CSU
Frömming, Dr. Götz | AfD
Frohnmaier, Markus | AfD
Fuchtel, Hans-Joachim | CDU/CSU
Gabelmann, Sylvia | Die Linke
Gabriel, Sigmar | SPD
Gädechens, Ingo | CDU/CSU
Gastel, Matthias | Bündnis 90/Die Grünen
Gauland, Dr. Alexander | AfD
Gebhart, Dr. Thomas | CDU/CSU
Gehring, Kai | Bündnis 90/Die Grünen
Gehrke, Prof. Dr. Axel | AfD
Gelbhaar, Stefan | Bündnis 90/Die Grünen
Gerdes, Michael | SPD
Gerig, Alois | CDU/CSU
Gerster, Martin | SPD
Gienger, Eberhard | CDU/CSU
Glaser, Albrecht | AfD
Glöckner, Angelika | SPD
Gminder, Franziska | AfD
Gnodtke, Eckhard | CDU/CSU
Göring-Eckardt, Katrin | Bündnis 90/Die Grünen
Gohlke, Nicole | Die Linke
Gottberg, Wilhelm von | AfD
Gottschalk, Kay | AfD
Gremmels, Timon | SPD
Griese, Kerstin | SPD
Groden-Kranich, Ursula | CDU/CSU
Gröhe, Hermann | CDU/CSU
Gröhler, Klaus-Dieter | CDU/CSU
Grötsch, Uli | SPD
Groß, Michael | SPD
Grosse-Brömer, Michael | CDU/CSU
Grotelüschen, Astrid | CDU/CSU
Grübel, Markus | CDU/CSU
Grütters, Prof. Monika | CDU/CSU
Grund, Manfred | CDU/CSU
Grundl, Erhard | Bündnis 90/Die Grünen
Grundmann, Oliver | CDU/CSU
Güntzler, Fritz | CDU/CSU
Gutting, Olav | CDU/CSU
Gysi, Dr. Gregor | Die Linke
Haase, Christian | CDU/CSU
Hacker, Thomas | FDP
Hänsel, Heike | Die Linke
Hagedorn, Bettina | SPD
Hagl-Kehl, Rita | SPD
Hahn, Dr. André | Die Linke
Hahn, Florian | CDU/CSU
Hajduk, Anja | Bündnis 90/Die Grünen
Hakverdi, Metin | SPD
Hampel, Armin-Paulus | AfD
Harbarth, Dr. Stephan | CDU/CSU
Harder-Kühnel, Mariana Iris | AfD
Hardt, Jürgen | CDU/CSU
Hartmann, Sebastian | SPD
Hartmann, Verena | AfD
Hartwig, Dr. Roland | AfD
Haßelmann, Britta | Bündnis 90/Die Grünen
Hauer, Matthias | CDU/CSU
Haug, Jochen | AfD
Hauptmann, Mark | CDU/CSU
Hebner, Martin | AfD
Heidenblut, Dirk | SPD
Heider, Dr. Matthias | CDU/CSU
Heil (Peine), Hubertus | SPD
Heil, Mechthild | CDU/CSU
Heilmann, Thomas | CDU/CSU
Heinrich (Chemnitz), Frank | CDU/CSU
Heinrich, Gabriela | SPD
Held, Marcus | SPD
Helfrich, Mark | CDU/CSU
Helling-Plahr, Katrin | FDP
Hellmich, Wolfgang | SPD
Hemmelgarn, Udo Theodor | AfD
Hendricks, Dr. Barbara | SPD
Henke, Rudolf | CDU/CSU
Hennrich, Michael | CDU/CSU
Henrichmann, Marc | CDU/CSU
Herbrand, Markus | FDP
Herbst, Torsten | FDP
Herdt, Waldemar | AfD
Herrmann, Lars | AfD
Herzog, Gustav | SPD
Hess, Martin | AfD
Hessel, Katja | FDP
Heßenkemper, Prof. Dr. Heiko | AfD
Heveling, Ansgar | CDU/CSU
Hiller-Ohm, Gabriele | SPD
Hilse, Karsten | AfD
Hirte, Christian | CDU/CSU
Hirte, Prof. Dr. Heribert | CDU/CSU
Hitschler, Thomas | SPD
Hocker, Dr. Gero Clemens | FDP
Höchst, Nicole | AfD
Höferlin, Manuel | FDP
Högl, Dr. Eva | SPD
Höhn, Matthias | Die Linke
Hoffmann, Alexander | CDU/CSU
Hoffmann, Dr. Bettina | Bündnis 90/Die Grünen
Hoffmann, Dr. Christoph | FDP
Hofreiter, Dr. Anton | Bündnis 90/Die Grünen
Hohmann, Martin | AfD
Hollnagel, Dr. Bruno | AfD
Holm, Leif-Erik | AfD
Holmeier, Karl | CDU/CSU
Holtz, Ottmar von | Bündnis 90/Die Grünen
Hoppenstedt, Dr. Hendrik | CDU/CSU
Houben, Reinhard | FDP
Huber, Johannes | AfD
Hunko, Andrej | Die Linke
Ihnen, Ulla | FDP
in der Beek, Olaf | FDP
Irlstorfer, Erich | CDU/CSU
Irmer, Hans-Jürgen | CDU/CSU
Jacobi, Fabian | AfD
Janecek, Dieter | Bündnis 90/Die Grünen
Jarzombek, Thomas | CDU/CSU
Jelpke, Ulla | Die Linke
Jensen, Gyde | FDP
Jongen, Dr. Marc | AfD
Jung, Andreas | CDU/CSU
Jung, Dr. Christian | FDP
Jung, Ingmar | CDU/CSU
Junge, Frank | SPD
Juratovic, Josip | SPD
Jurk, Thomas | SPD
Kaczmarek, Oliver | SPD
Kahrs, Johannes | SPD
Kaiser, Elisabeth | SPD
Kamann, Uwe | AfD
Kappert-Gonther, Dr. Kirsten | Bündnis 90/Die Grünen
Kapschack, Ralf | SPD
Karl, Alois | CDU/CSU
Karliczek, Anja | CDU/CSU
Kartes, Torbjörn | CDU/CSU
Kassner, Kerstin | Die Linke
Katzmarek, Gabriele | SPD
Kauder, Volker | CDU/CSU
Kaufmann, Dr. Stefan | CDU/CSU
Kekeritz, Uwe | Bündnis 90/Die Grünen
Kelber, Ulrich | SPD
Kemmer, Ronja | CDU/CSU
Kemmerich, Thomas L. | FDP
Kessler, Dr. Achim | Die Linke
Kestner, Jens | AfD
Keul, Katja | Bündnis 90/Die Grünen
Keuter, Stefan | AfD
Kiesewetter, Roderich | CDU/CSU
Kießling, Michael | CDU/CSU
Kindler, Sven-Christian | Bündnis 90/Die Grünen
Kippels, Dr. Georg | CDU/CSU
Kipping, Katja | Die Linke
Kiziltepe, Cansel | SPD
Klare, Arno | SPD
Klein, Karsten | FDP
Klein, Volkmar | CDU/CSU
Klein-Schmeink, Maria | Bündnis 90/Die Grünen
Kleinwächter, Norbert | AfD
Klingbeil, Lars | SPD
Klinge, Dr. Marcel | FDP
Kluckert, Daniela | FDP
Knoerig, Axel | CDU/CSU
Kober, Pascal | FDP
Köhler, Dr. Lukas | FDP
König, Jörn | AfD
Koeppen, Jens | CDU/CSU
Körber, Carsten | CDU/CSU
Kofler, Dr. Bärbel | SPD
Kolbe, Daniela | SPD
Komning, Enrico | AfD
Konrad, Carina | FDP
Koob, Markus | CDU/CSU
Korkmaz, Elvan | SPD
Korte, Jan | Die Linke
Kotré, Steffen | AfD
Kotting-Uhl, Sylvia | Bündnis 90/Die Grünen
Kraft, Dr. Rainer | AfD
Kramme, Anette | SPD
Krauß, Alexander | CDU/CSU
Krellmann, Jutta | Die Linke
Krichbaum, Gunther | CDU/CSU
Krings, Dr. Günter | CDU/CSU
Krischer, Oliver | Bündnis 90/Die Grünen
Kruse, Rüdiger | CDU/CSU
Kubicki, Wolfgang | FDP
Kühn (Tübingen), Christian | Bündnis 90/Die Grünen
Kühn (Dresden), Stephan | Bündnis 90/Die Grünen
Kühne, Dr. Roy | CDU/CSU
Künast, Renate | Bündnis 90/Die Grünen
Kuffer, Michael | CDU/CSU
Kuhle, Konstantin | FDP
Kulitz, Alexander | FDP
Kurth, Markus | Bündnis 90/Die Grünen
Lämmel, Andreas G. | CDU/CSU
Lambrecht, Christine | SPD
Lambsdorff, Alexander Graf | FDP
Lamers, Prof. h. c. Dr. Karl A. | CDU/CSU
Landgraf, Katharina | CDU/CSU
Lange (Backnang), Christian | SPD
Lange, Ulrich | CDU/CSU
Launert, Dr. Silke | CDU/CSU
Lauterbach, Prof. Dr. Karl | SPD
Lay, Caren | Die Linke
Lazar, Monika | Bündnis 90/Die Grünen
Lechte, Ulrich | FDP
Lehmann, Jens | CDU/CSU
Lehmann, Sven | Bündnis 90/Die Grünen
Lehrieder, Paul | CDU/CSU
Leidig, Sabine | Die Linke
Leikert, Dr. Katja | CDU/CSU
Lemke, Steffi | Bündnis 90/Die Grünen
Lenkert, Ralph | Die Linke
Lenz, Dr. Andreas | CDU/CSU
Leutert, Michael | Die Linke
Leyen, Dr. Ursula von der | CDU/CSU
Lezius, Antje | CDU/CSU
Liebich, Stefan | Die Linke
Lindh, Helge | SPD
Lindholz, Andrea | CDU/CSU
Lindner, Christian | FDP
Lindner, Dr. Tobias | Bündnis 90/Die Grünen
Link, Michael Georg | FDP
Linnemann, Dr. Carsten | CDU/CSU
Lips, Patricia | CDU/CSU
Lischka, Burkhard | SPD
Löbel, Nikolas | CDU/CSU
Lötzsch, Dr. Gesine | Die Linke
Loos, Bernhard | CDU/CSU
Lucassen, Rüdiger | AfD
Luczak, Dr. Jan-Marco | CDU/CSU
Ludwig, Daniela | CDU/CSU
Lühmann, Kirsten | SPD
Luksic, Oliver | FDP
Lutze, Thomas | Die Linke
Maag, Karin | CDU/CSU
Maas, Heiko | SPD
Magnitz, Frank | AfD
Magwas, Yvonne | CDU/CSU
Maier, Jens | AfD
Maier, Prof. Dr. Lothar | AfD
Maizière, Dr. Thomas de | CDU/CSU
Malsack-Winkemann, Dr. Birgit | AfD
Manderla, Gisela | CDU/CSU
Mannes, Dr. Astrid | CDU/CSU
Mansmann, Till | FDP
Marks, Caren | SPD
Marschall, Matern von | CDU/CSU
Martens, Dr. Jürgen | FDP
Marwitz, Hans-Georg von der | CDU/CSU
Mast, Katja | SPD
Matschie, Christoph | SPD
Mattfeldt, Andreas | CDU/CSU
Mattheis, Hilde | SPD
Mayer (Altötting), Stephan | CDU/CSU
Meiser, Pascal | Die Linke
Meister, Dr. Michael | CDU/CSU
Merkel, Dr. Angela Dorothea | CDU/CSU
Metzler, Jan | CDU/CSU
Meyer, Christoph | FDP
Miazga, Corinna | AfD
Michelbach, Dr. h. c. Hans | CDU/CSU
Middelberg, Dr. Mathias | CDU/CSU
Miersch, Dr. Matthias | SPD
Mieruch, Mario | fraktionslos
Mihalic, Dr. Irene | Bündnis 90/Die Grünen
Mindrup, Klaus | SPD
Mittag, Susanne | SPD
Möhring, Cornelia | Die Linke
Möller, Siemtje | SPD
Möring, Karsten | CDU/CSU
Mohamed Ali, Amira | Die Linke
Mohrs, Falko | SPD
Moll, Claudia | SPD
Monstadt, Dietrich | CDU/CSU
Mortler, Marlene | CDU/CSU
Motschmann, Elisabeth | CDU/CSU
Movassat, Niema | Die Linke
Mrosek, Andreas | AfD
Müller, Alexander | FDP
Müller, Axel | CDU/CSU
Müller, Bettina | SPD
Müller (Braunschweig), Carsten | CDU/CSU
Müller, Claudia | Bündnis 90/Die Grünen
Müller (Chemnitz), Detlef | SPD
Müller, Dr. Gerd | CDU/CSU
Müller, Hansjörg | AfD
Müller (Potsdam), Norbert | Die Linke
Müller, Sepp | CDU/CSU
Müller (Erlangen), Stefan | CDU/CSU
Müller-Böhm, Roman | FDP
Müller-Gemmeke, Beate | Bündnis 90/Die Grünen
Müller-Rosentritt, Frank | FDP
Müntefering, Michelle | SPD
Münz, Volker | AfD
Münzenmaier, Sebastian | AfD
Mützenich, Dr. Rolf | SPD
Nahles, Andrea | SPD
Nastic, Zaklin | Die Linke
Nestle, Ingrid | Bündnis 90/Die Grünen
Neu, Dr. Alexander S. | Die Linke
Neumann, Christoph | AfD
Neumann, Prof. Dr. Martin | FDP
Nick, Dr. Andreas | CDU/CSU
Nicolaisen, Petra | CDU/CSU
Nietan, Dietmar | SPD
Nissen, Ulli | SPD
Noll, Michaela | CDU/CSU
Nolte, Jan Ralf | AfD
Nord, Thomas | Die Linke
Notz, Dr. Konstantin von | Bündnis 90/Die Grünen
Nouripour, Omid | Bündnis 90/Die Grünen
Nüßlein, Dr. Georg | CDU/CSU
Oehme, Ulrich | AfD
Oellers, Wilfried | CDU/CSU
Özdemir, Cem | Bündnis 90/Die Grünen
Özdemir (Duisburg), Mahmut | SPD
Özoguz, Aydan | SPD
Oppermann, Thomas | SPD
Ortleb, Josephine | SPD
Oßner, Florian | CDU/CSU
Ostendorff, Friedrich | Bündnis 90/Die Grünen
Oster, Josef | CDU/CSU
Otte, Henning | CDU/CSU
Otten, Gerold | AfD
Pantel, Sylvia | CDU/CSU
Pasemann, Frank | AfD
Patzelt, Martin | CDU/CSU
Pau, Petra | Die Linke
Paus, Lisa | Bündnis 90/Die Grünen
Pellmann, Sören | Die Linke
Perli, Victor | Die Linke
Peterka, Tobias Matthias | AfD
Petry, Christian | SPD
Petry, Dr. Frauke | fraktionslos
Pfeiffer, Dr. Joachim | CDU/CSU
Pflüger, Tobias | Die Linke
Pilger, Detlev | SPD
Pilsinger, Stephan | CDU/CSU
Ploß, Dr. Christoph | CDU/CSU
Podolay, Paul Viktor | AfD
Pohl, Jürgen | AfD
Polat, Filiz | Bündnis 90/Die Grünen
Pols, Eckhard | CDU/CSU
Poschmann, Sabine | SPD
Post (Minden), Achim | SPD
Post, Florian | SPD
Pronold, Florian | SPD
Protschka, Stephan | AfD
Raabe, Dr. Sascha | SPD
Rabanus, Martin | SPD
Rachel, Thomas | CDU/CSU
Radomski, Kerstin | CDU/CSU
Radwan, Alexander | CDU/CSU
Rainer, Alois | CDU/CSU
Ramsauer, Dr. Peter | CDU/CSU
Rehberg, Eckhardt | CDU/CSU
Reichardt, Martin | AfD
Reimann, Dr. Carola | SPD  *
Reinhold, Hagen | FDP
Remmers, Ingrid | Die Linke
Renner, Martin Erwin | AfD
Renner, Martina | Die Linke
Reusch, Roman Johannes | AfD
Reuther, Bernd | FDP
Riebsamen, Lothar | CDU/CSU
Rief, Josef | CDU/CSU
Riexinger, Bernd | Die Linke
Rimkus, Andreas | SPD
Rix, Sönke | SPD
Röring, Johannes | CDU/CSU
Röspel, René | SPD
Rößner, Tabea | Bündnis 90/Die Grünen
Röttgen, Dr. Norbert | CDU/CSU
Rohde, Dennis | SPD
Rosemann, Dr. Martin | SPD
Rossmann, Dr. Ernst Dieter | SPD
Roth (Augsburg), Claudia | Bündnis 90/Die Grünen
Roth (Heringen), Michael | SPD
Rottmann, Dr. Manuela | Bündnis 90/Die Grünen
Rouenhoff, Stefan | CDU/CSU
Rüddel, Erwin | CDU/CSU
Rüffer, Corinna | Bündnis 90/Die Grünen
Rüthrich, Susann | SPD
Rützel, Bernd | SPD
Ruppert, Dr. Stefan | FDP
Rupprecht, Albert | CDU/CSU
Ryglewski, Sarah | SPD
Saathoff, Johann | SPD
Sarrazin, Manuel | Bündnis 90/Die Grünen
Sattelberger, Dr. h. c. Thomas | FDP
Sauer, Stefan | CDU/CSU
Sauter, Christian | FDP
Schäfer (Saalstadt), Anita | CDU/CSU
Schäfer (Bochum), Axel | SPD
Schäffler, Frank | FDP
Schäuble, Dr. Wolfgang | CDU/CSU
Schauws, Ulle | Bündnis 90/Die Grünen
Scheer, Dr. Nina | SPD
Scheuer, Andreas | CDU/CSU
Schick, Dr. Gerhard | Bündnis 90/Die Grünen
Schieder, Marianne | SPD
Schiefner, Udo | SPD
Schielke-Ziesing, Ulrike | AfD
Schimke, Jana | CDU/CSU
Schinnenburg, Dr. Wieland | FDP
Schipanski, Tankred | CDU/CSU
Schlund, Dr. Robby | AfD
Schmid, Dr. Nils | SPD
Schmidt (Fürth), Christian | CDU/CSU
Schmidt (Wetzlar), Dagmar | SPD
Schmidt, Dr. Frithjof | Bündnis 90/Die Grünen
Schmidt, Stefan | Bündnis 90/Die Grünen
Schmidt (Aachen), Ulla | SPD
Schmidt, Uwe | SPD
Schmidtke, Prof. Dr. Claudia | CDU/CSU
Schneider (Erfurt), Carsten | SPD
Schneider, Jörg | AfD
Schnieder, Patrick | CDU/CSU
Schön, Nadine | CDU/CSU
Schraps, Johannes | SPD
Schreiber, Eva-Maria | Die Linke
Schreiner, Felix | CDU/CSU
Schrodi, Michael | SPD
Schüle, Dr. Manja | SPD
Schulte, Ursula | SPD
Schulz, Jimmy | FDP
Schulz, Martin | SPD
Schulz (Spandau), Swen | SPD
Schulz, Uwe | AfD
Schulz-Asche, Kordula | Bündnis 90/Die Grünen
Schulze, Dr. Klaus-Peter | CDU/CSU
Schummer, Uwe | CDU/CSU
Schurer, Ewald | SPD  **
Schuster (Weil am Rhein), Armin | CDU/CSU
Schwabe, Frank | SPD
Schwartze, Stefan | SPD
Schwarz, Andreas | SPD
Schwarzelühr-Sutter, Rita | SPD
Schweiger, Torsten | CDU/CSU
Seestern-Pauly, Matthias | FDP
Seif, Detlef | CDU/CSU
Seitz, Thomas | AfD
Selle, Johannes | CDU/CSU
Sendker, Reinhold | CDU/CSU
Sensburg, Prof. Dr. Patrick | CDU/CSU
Sichert, Martin | AfD
Silberhorn, Thomas | CDU/CSU
Simon, Björn | CDU/CSU
Sitta, Frank | FDP
Sitte, Dr. Petra | Die Linke
Skudelny, Judith | FDP
Solms, Dr. Hermann Otto | FDP
Sommer, Helin Evrim | Die Linke
Sorge, Tino | CDU/CSU
Spahn, Jens | CDU/CSU
Spangenberg, Detlev | AfD
Spaniel, Dr. Dirk | AfD
Spiering, Rainer | SPD
Springer, René | AfD
Stadler, Svenja | SPD
Staffler, Katrin | CDU/CSU
Stamm-Fibich, Martina | SPD
Stark-Watzinger, Bettina | FDP
Steffel, Frank | CDU/CSU
Steffen, Sonja Amalie | SPD
Stefinger, Dr. Wolfgang | CDU/CSU
Stegemann, Albert | CDU/CSU
Steier, Andreas | CDU/CSU
Stein, Mathias | SPD
Stein (Rostock), Peter | CDU/CSU
Steineke, Sebastian | CDU/CSU
Steiniger, Johannes | CDU/CSU
Steinke, Kersten | Die Linke
Stetten, Christian Freiherr von | CDU/CSU
Stier, Dieter | CDU/CSU
Storch, Beatrix von | AfD
Storjohann, Gero | CDU/CSU
Strack-Zimmermann, Dr. Marie-Agnes | FDP
Stracke, Stephan | CDU/CSU
Straetmanns, Friedrich | Die Linke
Strasser, Benjamin | FDP
Straubinger, Max | CDU/CSU
Strengmann-Kuhn, Dr. Wolfgang | Bündnis 90/Die Grünen
Strenz, Karin | CDU/CSU
Stübgen, Michael | CDU/CSU
Stumpp, Margit | Bündnis 90/Die Grünen
Suding, Katja | FDP
Tack, Kerstin | SPD
Tackmann, Dr. Kirsten | Die Linke
Tatti, Jessica | Die Linke
Tauber, Dr. Peter | CDU/CSU
Tausend, Claudia | SPD
Tebroke, Dr. Hermann-Josef | CDU/CSU
Teuteberg, Linda | FDP
Theurer, Michael | FDP
Thews, Michael | SPD
Thies, Hans-Jürgen | CDU/CSU
Thomae, Stephan | FDP
Throm, Alexander | CDU/CSU
Tiemann, Dr. Dietlind | CDU/CSU
Tillmann, Antje | CDU/CSU
Todtenhausen, Manfred | FDP
Töns, Markus | SPD
Toncar, Dr. Florian | FDP
Träger, Carsten | SPD
Tressel, Markus | Bündnis 90/Die Grünen
Trittin, Jürgen | Bündnis 90/Die Grünen
Uhl, Markus | CDU/CSU
Ullmann, Prof. Dr. Andrew | FDP
Ullrich, Gerald | FDP
Ullrich, Dr. Volker | CDU/CSU
Ulrich, Alexander | Die Linke
Vaatz, Arnold | CDU/CSU
Veith, Oswin | CDU/CSU
Verlinden, Dr. Julia | Bündnis 90/Die Grünen
Vieregge, Kerstin | CDU/CSU
Völlers, Marja-Liisa | SPD
Vöpel, Dirk | SPD
Vogel (Olpe), Johannes | FDP
Vogel (Kleinsaara), Volkmar | CDU/CSU
Vogler, Kathrin | Die Linke
Vogt, Ute | SPD
Vries, Christoph de | CDU/CSU
Vries, Kees de | CDU/CSU
Wadephul, Dr. Johann David | CDU/CSU
Wagenknecht, Dr. Sahra | Die Linke
Wagner, Andreas | Die Linke
Wagner, Daniela | Bündnis 90/Die Grünen
Walter-Rosenheimer, Beate | Bündnis 90/Die Grünen
Wanderwitz, Marco | CDU/CSU
Weber, Gabi | SPD
Weeser, Sandra | FDP
Wegner, Kai | CDU/CSU
Weidel, Dr. Alice | AfD
Weiler, Dr. h. c. (NUACA) Albert | CDU/CSU
Weinberg, Harald | Die Linke
Weinberg (Hamburg), Marcus | CDU/CSU
Weisgerber, Dr. Anja | CDU/CSU
Weiß (Emmendingen), Peter | CDU/CSU
Weiss (Wesel I), Sabine | CDU/CSU
Wellenreuther, Ingo | CDU/CSU
Wendt, Marian | CDU/CSU
Werner, Katrin | Die Linke
Westig, Nicole | FDP
Westphal, Bernd | SPD
Weyel, Prof. Dr. Harald | AfD
Whittaker, Kai | CDU/CSU
Widmann-Mauz, Annette | CDU/CSU
Wiehle, Wolfgang | AfD
Wiese, Dirk | SPD
Wiesmann, Bettina Margarethe | CDU/CSU
Wildberg, Dr. Heiko | AfD
Willkomm, Katharina | FDP
Willsch, Klaus-Peter | CDU/CSU
Winkelmeier-Becker, Elisabeth | CDU/CSU
Wirth, Dr. Christian | AfD
Witt, Uwe | AfD
Wittke, Oliver | CDU/CSU
Yüksel, Gülistan | SPD
Zdebel, Hubertus | Die Linke
Zeulner, Emmi | CDU/CSU
Ziegler, Dagmar | SPD
Ziemiak, Paul | CDU/CSU
Zierke, Stefan | SPD
Zimmer, Prof. Dr. Matthias | CDU/CSU
Zimmermann, Dr. Jens | SPD
Zimmermann, Pia | Die Linke
Zimmermann (Zwickau), Sabine | Die Linke
